City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
440,Abha,SA,18.2164,42.5053,62.85,22,0,0.0,clear sky
441,Pocone,BR,-16.2567,-56.6228,85.1,45,30,4.97,scattered clouds
442,Rajmahal,IN,25.05,87.8333,78.8,86,89,3.02,overcast clouds
443,Loandjili,CG,-4.7561,11.8578,75.2,84,100,8.12,overcast clouds
444,Anori,BR,-3.7728,-61.6442,81.64,40,41,1.54,scattered clouds
445,Tigzirt,DZ,36.8886,4.1198,72.37,68,100,8.41,overcast clouds
446,Catanzaro,IT,38.8908,16.5987,64.76,65,63,4.25,broken clouds
447,Conde,BR,-7.2597,-34.9075,74.66,88,75,5.75,broken clouds
448,Gasa,PS,31.5,34.4667,77.22,60,0,9.4,clear sky
449,Simoes,BR,-7.5989,-40.8178,78.26,31,6,10.58,clear sky
450,Sovetskiy,RU,61.3614,63.5842,27.9,77,6,6.71,clear sky
451,Venezuela,VE,8.0,-66.0,82.94,72,100,5.59,overcast clouds
452,Nicoya,CR,10.1483,-85.452,75.33,94,100,0.81,overcast clouds
453,San Carlos,VE,9.6612,-68.5827,73.89,95,98,2.73,overcast clouds
454,Grodkow,PL,50.6984,17.3845,53.94,89,65,5.55,broken clouds
455,Masindi,UG,1.6744,31.715,61.9,93,44,3.2,scattered clouds
456,Ajdabiya,LY,30.7554,20.2263,72.77,62,0,9.73,clear sky
457,Le Vauclin,MQ,14.5452,-60.8388,79.84,89,20,3.44,few clouds
458,Ushtobe,KZ,45.2514,77.9838,65.05,35,0,6.6,clear sky
459,Dalbandin,PK,28.8947,64.4101,74.01,10,5,1.25,clear sky
460,Ceres,US,37.5949,-120.9577,93.79,34,0,10.36,clear sky
461,Adrar,MR,20.5022,-10.0711,89.1,37,42,13.91,scattered clouds
462,Kpandae,GH,8.4689,-0.0113,73.44,93,100,1.43,moderate rain
463,Opuwo,NA,-18.0607,13.84,63.59,22,97,7.02,overcast clouds
464,Buchanan,LR,5.8808,-10.0467,74.21,92,100,4.56,moderate rain
465,Negombo,LK,7.2083,79.8358,80.65,89,75,4.61,broken clouds
466,Mayumba,GA,-3.432,10.6554,75.07,87,100,6.73,light rain
467,Watsa,CD,3.0372,29.5355,61.79,97,73,2.06,broken clouds
468,Gat,IL,31.61,34.7642,79.39,48,0,5.46,clear sky
469,Arlit,NE,18.7369,7.3853,94.73,13,74,6.82,broken clouds
470,Mbini,GQ,1.574,9.6134,75.29,91,100,7.52,light rain
471,Solwezi,ZM,-12.1688,26.3894,63.68,39,13,2.68,few clouds
472,Piet Retief,ZA,-27.0071,30.8132,60.62,51,0,4.36,clear sky
473,Panaba,MX,21.2833,-88.2667,78.19,84,6,10.45,clear sky
474,Jizan,SA,17.3333,42.6667,87.62,64,43,2.08,scattered clouds
475,Oussouye,SN,12.485,-16.5469,77.11,86,100,5.23,overcast clouds
476,Semey,KZ,50.4111,80.2275,52.02,43,0,4.47,clear sky
477,Kibaha,TZ,-6.7667,38.9167,68.67,95,19,3.53,few clouds
478,San Vicente De Canete,PE,-13.0751,-76.3835,61.45,83,23,2.57,few clouds
479,Mongo,TD,12.1844,18.693,79.56,67,100,3.98,overcast clouds
480,Rio Casca,BR,-20.2261,-42.6508,70.84,69,6,7.54,clear sky
481,La Primavera,CO,5.4906,-70.4092,81.28,67,60,2.59,broken clouds
482,Samfya,ZM,-11.3649,29.5565,70.92,47,97,6.69,overcast clouds
483,Kirkuk,IQ,35.4681,44.3922,75.85,29,0,7.36,clear sky
484,Praia,CV,14.9215,-23.5087,77.54,83,40,6.91,scattered clouds
485,Putina,PE,-15.4667,-69.4333,46.13,70,64,13.29,broken clouds
486,Kangavar,IR,34.5043,47.9653,59.58,46,0,3.8,clear sky
487,Mazamari,PE,-11.3258,-74.5308,70.63,93,100,3.47,overcast clouds
488,Antalaha,MG,-14.9003,50.2788,69.49,85,50,8.77,light rain
